"","Acb","Act","At","Ba","Bg","Bl","Cw","Dr","Ep","Fd","Hm","Hw","Lw","Mb","Pa","Pl","Pw","Py","Sb","Ss","Sx","Yc"
"Acb",1,-0.0966353241008988,0.110408877418637,-0.0454313198302017,-0.0403553450716587,-0.0861926936792783,-0.106970494693251,-0.0615426173590951,0.176451062240633,-0.125464599488481,-0.0450247735179826,-0.0962769660168884,-0.0682610050768392,-0.0495539330387518,-0.043167659636485,-0.0231735316415878,-0.0491734181612798,-0.0623472651291562,0.303006401673776,-0.049161674334963,0.072813459822714,-0.0437895162350525
"Act",-0.0966353241008988,1,0.326036213691017,0.0392516515415404,0.106966681990334,0.102776701897207,0.352731315987766,0.285565867862982,0.497547856279171,0.0750771030890369,-0.118226885976329,0.230325751447496,0.0864389201056605,0.35928956090813,-0.145117818388005,0.032146673578381,0.18971527680474,-0.114364546536313,-0.142199878667651,0.0773502975139181,0.0264210898512183,-0.0873449803349441
"At",0.110408877418637,0.326036213691017,1,-0.15738856690631,-0.0315185291658938,0.193289198731903,0.0307913474910273,-0.251885856041254,0.497359868443719,0.201896223360671,-0.17406893574642,-0.0253509575634785,0.241446339235353,-0.202817744504529,-0.145381500402687,0.211262190438864,0.155672314312085,0.0715972110451949,0.0526886145245885,-0.201212281109677,0.269778166045504,-0.179224743044968
"Ba",-0.0454313198302017,0.0392516515415404,-0.15738856690631,1,-0.0568493266057161,-0.0749803236269102,0.206294975464676,0.230176016726842,-0.039281222496166,-0.0891416627658609,0.374876485080588,0.330850215555901,-0.109043199930929,0.121067870509048,-0.0702166652464824,-0.137422052108872,-0.0571822658665014,-0.124666727430213,-0.10308389342746,0.309546576125954,-0.0947599087216759,0.359505924476594
"Bg",-0.0403553450716587,0.106966681990334,-0.0315185291658938,-0.0568493266057161,1,-0.0963577597592368,0.198985562240109,0.147207930706703,0.118984957284118,0.167200196520324,-0.063209001763699,0.137733384498044,0.113466229789906,0.261749000616435,-0.0606018522893304,-0.0810586571714369,0.197188183704842,0.0488008565571164,-0.0772718411862409,-0.0238215105444177,-0.0520852316748473,-0.0510048128752394
"Bl",-0.0861926936792783,0.102776701897207,0.193289198731903,-0.0749803236269102,-0.0963577597592368,1,-0.0666532245129526,-0.313256135441232,0.0760336201223522,-0.000568128786873973,-0.0743285429535921,-0.0352843382526738,0.142680582122538,-0.253312115289981,0.271945280699854,0.364205301920922,0.102850595121278,-0.244569257739455,-0.166907554358342,-0.241176785521389,0.536525620987164,-0.205096865431275
"Cw",-0.106970494693251,0.352731315987766,0.0307913474910273,0.206294975464676,0.198985562240109,-0.0666532245129526,1,0.448502488848296,0.305673357603298,0.0845581858555098,0.0665442245481379,0.649819513656733,0.177325394396896,0.339195857173349,-0.154507968889688,-0.0390064783697068,0.329206150481571,-0.0365373448603619,-0.204825582902908,0.386865560874276,-0.13489310093158,0.253140225006316
"Dr",-0.0615426173590951,0.285565867862982,-0.251885856041254,0.230176016726842,0.147207930706703,-0.313256135441232,0.448502488848296,1,0.104870061827388,-0.0991960559877962,-0.0140932579951664,0.36552767462541,-0.113283891159954,0.662122287156485,-0.0924189001499566,-0.221503712128806,0.0209650542399507,-0.121748401919086,-0.117840929034636,0.585756023721081,-0.308492162757906,0.233229085882506
"Ep",0.176451062240633,0.497547856279171,0.497359868443719,-0.039281222496166,0.118984957284118,0.0760336201223522,0.305673357603298,0.104870061827388,1,0.147967217526624,-0.12086555385067,0.17624433246123,0.207989962505679,0.224145749181454,-0.146630086780444,0.0810468803003264,0.276121483082889,0.0511470068408072,-0.00169166029843598,-0.0211982985424311,0.1264763005176,-0.126983315734008
"Fd",-0.125464599488481,0.0750771030890369,0.201896223360671,-0.0891416627658609,0.167200196520324,-0.000568128786873973,0.0845581858555098,-0.0991960559877962,0.147967217526624,1,-0.125135994249081,0.0141429272540696,0.418179002000988,0.059160222753434,-0.0250343942124779,-0.00728572779270119,0.195235613463356,0.342556711570873,-0.25826638382019,-0.162775643958132,-0.0963350136910763,-0.142225085385188
"Hm",-0.0450247735179826,-0.118226885976329,-0.17406893574642,0.374876485080588,-0.063209001763699,-0.0743285429535921,0.0665442245481379,-0.0140932579951664,-0.12086555385067,-0.125135994249081,1,0.18792140137459,-0.101348099740017,-0.0776168469203463,-0.0404951709157659,-0.105321757663879,-0.00998319031885416,-0.0976551776353989,-0.0862127964102431,0.163742871453794,-0.124995561165938,0.511691022049428
"Hw",-0.0962769660168884,0.230325751447496,-0.0253509575634785,0.330850215555901,0.137733384498044,-0.0352843382526738,0.649819513656733,0.36552767462541,0.17624433246123,0.0141429272540696,0.18792140137459,1,0.0706940552421408,0.188331235985875,-0.107485065322284,-0.0755418439270711,0.360097332164415,-0.128167613259262,-0.184349766176943,0.397258182649229,-0.089686678708872,0.343660626131344
"Lw",-0.0682610050768392,0.0864389201056605,0.241446339235353,-0.109043199930929,0.113466229789906,0.142680582122538,0.177325394396896,-0.113283891159954,0.207989962505679,0.418179002000988,-0.101348099740017,0.0706940552421408,1,-0.025948907455927,-0.0222446076587469,0.201860249800717,0.330962381447436,0.222476865199788,-0.130705202350384,-0.10986637187019,0.124643547272819,-0.103984631107591
"Mb",-0.0495539330387518,0.35928956090813,-0.202817744504529,0.121067870509048,0.261749000616435,-0.253312115289981,0.339195857173349,0.662122287156485,0.224145749181454,0.059160222753434,-0.0776168469203463,0.188331235985875,-0.025948907455927,1,-0.0744154244013351,-0.20671004190457,0.0690266836513418,-0.0553533767589098,-0.0948851666891882,0.245859117798856,-0.227612484265469,0.0303733827739176
"Pa",-0.043167659636485,-0.145117818388005,-0.145381500402687,-0.0702166652464824,-0.0606018522893304,0.271945280699854,-0.154507968889688,-0.0924189001499566,-0.146630086780444,-0.0250343942124779,-0.0404951709157659,-0.107485065322284,-0.0222446076587469,-0.0744154244013351,1,0.117435680435235,-0.0198431099856591,-0.09362724430411,-0.0826568211444876,-0.0738263672644428,0.123989054841186,-0.0657589667486596
"Pl",-0.0231735316415878,0.032146673578381,0.211262190438864,-0.137422052108872,-0.0810586571714369,0.364205301920922,-0.0390064783697068,-0.221503712128806,0.0810468803003264,-0.00728572779270119,-0.105321757663879,-0.0755418439270711,0.201860249800717,-0.20671004190457,0.117435680435235,1,0.113779306711987,-0.0798888138757739,-0.0374310718836694,-0.182447324593564,0.295093690959592,-0.110537489606996
"Pw",-0.0491734181612798,0.18971527680474,0.155672314312085,-0.0571822658665014,0.197188183704842,0.102850595121278,0.329206150481571,0.0209650542399507,0.276121483082889,0.195235613463356,-0.00998319031885416,0.360097332164415,0.330962381447436,0.0690266836513418,-0.0198431099856591,0.113779306711987,1,0.0674576856226598,-0.0941565622099351,-0.0419743528804087,0.0701329361111991,-0.011542546496152
"Py",-0.0623472651291562,-0.114364546536313,0.0715972110451949,-0.124666727430213,0.0488008565571164,-0.244569257739455,-0.0365373448603619,-0.121748401919086,0.0511470068408072,0.342556711570873,-0.0976551776353989,-0.128167613259262,0.222476865199788,-0.0553533767589098,-0.09362724430411,-0.0798888138757739,0.0674576856226598,1,-0.119381657148561,-0.10662778876871,-0.216207299010947,-0.0949760021512228
"Sb",0.303006401673776,-0.142199878667651,0.0526886145245885,-0.10308389342746,-0.0772718411862409,-0.166907554358342,-0.204825582902908,-0.117840929034636,-0.00169166029843598,-0.25826638382019,-0.0862127964102431,-0.184349766176943,-0.130705202350384,-0.0948851666891882,-0.0826568211444876,-0.0374310718836694,-0.0941565622099351,-0.119381657148561,1,-0.0941340752982147,0.0417569872054475,-0.0838475433211855
"Ss",-0.049161674334963,0.0773502975139181,-0.201212281109677,0.309546576125954,-0.0238215105444177,-0.241176785521389,0.386865560874276,0.585756023721081,-0.0211982985424311,-0.162775643958132,0.163742871453794,0.397258182649229,-0.10986637187019,0.245859117798856,-0.0738263672644428,-0.182447324593564,-0.0419743528804087,-0.10662778876871,-0.0941340752982147,1,-0.198933857371588,0.3675046268731
"Sx",0.072813459822714,0.0264210898512183,0.269778166045504,-0.0947599087216759,-0.0520852316748473,0.536525620987164,-0.13489310093158,-0.308492162757906,0.1264763005176,-0.0963350136910763,-0.124995561165938,-0.089686678708872,0.124643547272819,-0.227612484265469,0.123989054841186,0.295093690959592,0.0701329361111991,-0.216207299010947,0.0417569872054475,-0.198933857371588,1,-0.204094479637937
"Yc",-0.0437895162350525,-0.0873449803349441,-0.179224743044968,0.359505924476594,-0.0510048128752394,-0.205096865431275,0.253140225006316,0.233229085882506,-0.126983315734008,-0.142225085385188,0.511691022049428,0.343660626131344,-0.103984631107591,0.0303733827739176,-0.0657589667486596,-0.110537489606996,-0.011542546496152,-0.0949760021512228,-0.0838475433211855,0.3675046268731,-0.204094479637937,1
